Departamento,Municipio,Centro,Mesa
17,5,3204,20608
17,5,3205,20612
17,5,3209,20663
17,5,3208,20652
17,9,3244,20871
17,9,3236,20810
17,9,3247,20884
17,6,3213,20677
17,6,3215,20682
17,7,3227,20744
17,7,3222,20721
17,12,3284,21125
17,12,3286,21134
17,12,3287,21135
17,11,3277,21047
17,11,3272,21031
17,2,3179,20407
17,2,3181,20414
17,8,3232,20788
17,8,3231,20778
17,13,3293,21178
17,13,3294,21179
17,13,3295,21186
17,13,3289,21148
17,13,3290,21155
17,1,3171,20377
17,10,3251,20911
17,4,3194,20515
17,14,3297,21195
17,14,3302,21212
17,3,3187,20452
1,2,168,2155
1,2,163,2113
1,2,162,2108
1,2,165,2135
1,16,491,4956
1,16,507,5111
1,16,488,4936
1,16,493,4975
1,16,498,5027
1,16,483,4888
1,11,379,3869
1,11,381,3880
1,11,381,3881
1,11,381,3883
1,11,386,3910
1,11,386,3913
1,11,380,3879
1,11,380,3877
1,7,242,2712
1,7,242,2711
1,7,244,2722
1,7,233,2645
1,5,209,2413
1,5,198,2342
1,5,210,2414
1,5,196,2333
1,5,205,2389
1,5,206,2394
1,5,199,2353
1,5,207,2406
1,10,352,3585
1,10,369,3797
1,10,369,3792
1,10,376,3857
1,10,363,3678
1,10,364,3691
1,14,418,4120
1,14,428,4186
1,14,409,4065
1,14,405,4040
1,14,421,4130
1,17,515,5220
1,17,520,5274
1,17,520,5273
1,17,526,5336
1,17,519,5272
1,17,511,5157
1,15,457,4500
1,15,457,4504
1,15,480,4850
1,15,454,4449
1,15,478,4816
1,15,451,4402
1,15,479,4836
1,15,479,4843
1,15,467,4646
1,15,464,4589
1,15,464,4588
1,15,476,4783
1,15,448,4343
1,12,389,3932
1,12,393,3949
1,12,393,3950
1,12,388,3921
1,12,390,3936
1,12,394,3951
1,9,340,3496
1,9,337,3469
1,9,344,3513
1,9,342,3504
1,9,342,3505
1,9,338,3489
1,9,338,3485
1,9,347,3538
1,9,341,3499
1,6,227,2592
1,6,213,2426
1,6,213,2424
1,6,213,2423
1,6,219,2494
1,6,216,2463
1,6,228,2607
1,6,222,2535
1,3,183,2249
1,3,182,2244
1,3,174,2188
1,3,181,2233
1,3,179,2226
1,3,186,2270
1,3,189,2293
1,3,189,2294
1,3,189,2295
1,3,178,2220
1,13,400,3986
1,13,396,3961
1,13,399,3980
1,8,249,2764
1,8,255,2801
1,8,277,2940
1,8,278,2955
1,8,312,3303
1,8,315,3319
1,8,260,2816
1,8,269,2902
1,8,292,3103
1,8,254,2794
12,19,2022,14426
12,19,2020,14409
12,19,2018,14394
12,21,2038,14502
12,27,2092,14695
12,16,1997,14257
12,16,1997,14262
12,13,1964,13979
12,23,2048,14569
12,23,2050,14573
12,24,2063,14612
12,24,2063,14613
12,24,2056,14592
12,24,2062,14609
12,24,2066,14621
12,24,2060,14602
12,2,1817,13314
12,25,2072,14634
12,25,2071,14633
12,29,2107,14744
12,29,2105,14738
12,5,1866,13509
12,30,2109,14753
12,30,2112,14771
12,30,2110,14757
12,26,2088,14686
12,26,2088,14687
12,26,2091,14690
12,26,2083,14659
12,26,2090,14689
12,15,1983,14093
12,1,1790,13134
12,17,2003,14294
12,17,2003,14293
12,17,2005,14302
12,17,2010,14336
12,28,2101,14720
12,28,2102,14724
12,10,1938,13854
12,11,1947,13892
12,11,1946,13884
12,18,2014,14362
12,18,2011,14347
12,22,2044,14549
12,14,1977,14057
16,3,2909,18980
16,3,2911,18987
16,3,2914,19000
16,7,2960,19286
16,7,2951,19229
16,7,2953,19251
16,11,3038,19830
16,11,3046,19857
16,11,3039,19834
16,13,3113,20077
16,13,3102,20036
16,13,3107,20051
16,13,3111,20066
16,13,3109,20061
16,13,3108,20056
16,1,2884,18750
16,1,2878,18682
16,1,2886,18761
16,5,2933,19130
16,5,2933,19131
16,5,2933,19135
16,5,2933,19132
16,5,2933,19128
16,15,3141,20211
16,15,3144,20228
16,15,3138,20195
16,15,3134,20168
16,15,3143,20222
16,15,3136,20181
16,6,2935,19142
16,6,2935,19141
16,6,2939,19166
16,6,2947,19200
16,6,2948,19204
16,6,2936,19144
16,12,3073,19944
16,12,3069,19931
16,12,3085,19968
16,12,3071,19940
16,12,3079,19957
16,12,3091,19980
16,9,2990,19472
16,9,2997,19572
16,9,2998,19596
16,17,3156,20300
16,17,3160,20315
16,17,3155,20296
16,10,3029,19800
16,10,3034,19819
16,10,3033,19814
16,10,3014,19740
16,10,3025,19786
16,10,3022,19781
16,4,2928,19094
16,4,2925,19081
16,4,2930,19106
16,16,3148,20253
16,16,3147,20248
16,16,3146,20238
16,16,3151,20266
16,14,3125,20122
16,14,3121,20105
16,14,3128,20133
16,14,3122,20111
16,8,2975,19397
16,8,2966,19319
16,8,2983,19428
20,9,3606,22971
20,9,3600,22947
20,9,3599,22940
20,9,3604,22961
20,1,3500,22447
20,1,3490,22378
20,8,3594,22916
20,8,3592,22902
20,8,3592,22899
20,4,3525,22579
20,4,3534,22645
20,2,3515,22542
20,2,3516,22547
20,10,3611,22997
20,10,3610,22993
20,7,3583,22852
20,7,3587,22877
20,3,3524,22577
20,6,3573,22803
20,11,3618,23023
20,11,3624,23048
20,5,3549,22707
2,3,559,5497
2,3,554,5478
2,3,556,5488
2,7,580,5629
2,16,617,5882
2,16,618,5886
2,15,613,5874
2,15,613,5872
2,15,613,5871
2,15,612,5868
2,15,615,5877
2,8,585,5674
2,8,583,5652
2,8,584,5661
2,9,588,5692
2,9,589,5703
2,13,604,5820
2,13,604,5813
2,1,545,5435
2,1,527,5339
2,10,592,5724
2,4,561,5504
2,4,564,5537
2,5,568,5569
2,5,566,5558
2,6,575,5602
2,6,570,5582
14,12,2667,17549
14,12,2646,17442
14,12,2646,17441
14,12,2663,17537
14,12,2648,17458
14,12,2649,17465
14,12,2652,17478
14,12,2651,17470
14,1,2499,16695
14,1,2505,16721
14,1,2516,16787
14,14,2694,17702
14,14,2694,17699
14,14,2692,17692
14,14,2689,17684
14,14,2685,17672
14,14,2686,17677
14,4,2544,16922
14,4,2548,16944
14,4,2542,16911
14,15,2701,17742
14,15,2706,17772
14,15,2698,17723
14,10,2633,17387
14,10,2624,17344
14,10,2622,17339
14,10,2621,17335
14,18,2734,17920
14,17,2727,17902
14,17,2731,17915
14,2,2525,16840
14,21,2770,18132
14,21,2770,18131
14,21,2768,18121
14,3,2536,16886
14,6,2585,17118
14,6,2584,17107
14,9,2609,17284
14,7,2597,17230
14,11,2636,17391
14,11,2645,17431
14,11,2640,17404
14,20,2753,18024
14,8,2605,17266
14,5,2568,17009
14,19,2748,17990
14,19,2742,17971
14,13,2677,17615
14,13,2683,17666
14,16,2722,17867
21,3,3671,23380
21,3,3672,23385
21,3,3672,23382
21,7,3694,23530
21,7,3693,23519
21,1,3627,23074
21,1,3633,23112
21,1,3640,23173
21,1,3636,23145
21,1,3638,23154
21,4,3679,23412
21,4,3677,23398
21,4,3677,23407
21,4,3678,23408
21,6,3690,23494
21,5,3684,23437
21,5,3685,23444
21,2,3660,23315
21,2,3660,23318
13,17,2349,15989
13,17,2345,15959
13,17,2352,16001
13,11,2288,15673
13,11,2287,15669
13,11,2287,15666
13,8,2245,15429
13,20,2382,16148
13,20,2385,16154
13,24,2417,16289
13,24,2417,16291
13,24,2420,16308
13,3,2174,15115
13,3,2176,15123
13,33,2496,16681
13,30,2483,16625
13,30,2486,16634
13,30,2486,16633
13,12,2297,15744
13,12,2300,15766
13,12,2298,15756
13,12,2292,15685
13,12,2293,15694
13,28,2476,16600
13,28,2477,16601
13,28,2474,16595
13,28,2470,16585
13,18,2362,16059
13,18,2361,16055
13,18,2356,16020
13,18,2359,16041
13,18,2365,16076
13,18,2355,16015
13,18,2354,16012
13,16,2339,15923
13,16,2342,15945
13,16,2338,15921
13,19,2375,16127
13,19,2375,16129
13,19,2369,16089
13,19,2366,16081
13,29,2479,16607
13,29,2479,16608
13,29,2481,16616
13,29,2480,16609
13,29,2480,16612
13,14,2311,15827
13,14,2313,15842
13,14,2312,15831
13,6,2232,15345
13,6,2229,15329
13,15,2332,15903
13,15,2319,15864
13,15,2317,15853
13,27,2464,16567
13,27,2464,16564
13,27,2457,16520
13,27,2458,16525
13,26,2451,16487
13,26,2442,16434
13,26,2433,16368
13,4,2196,15191
13,4,2202,15206
13,4,2198,15197
13,4,2194,15186
13,4,2203,15208
13,4,2191,15176
13,10,2269,15583
13,10,2266,15569
13,10,2274,15609
13,32,2494,16676
13,32,2494,16675
13,32,2493,16672
13,7,2241,15406
13,25,2430,16346
13,25,2429,16345
13,9,2260,15532
13,9,2263,15556
13,9,2258,15517
13,5,2211,15257
13,5,2213,15274
13,21,2395,16209
13,23,2406,16246
13,23,2415,16279
13,31,2487,16638
13,22,2396,16213
0,1,103,1382
0,1,118,1659
0,1,118,1662
0,1,67,857
0,1,67,853
0,1,27,345
0,1,131,1841
0,1,104,1402
0,1,75,951
0,1,61,803
0,1,143,1942
0,1,125,1748
0,1,26,326
0,1,26,328
0,1,26,332
0,1,123,1712
0,1,101,1330
0,1,86,1143
0,1,87,1149
0,1,87,1150
0,1,124,1739
0,1,108,1479
0,1,62,805
0,1,62,807
0,1,4,35
0,1,44,553
0,1,136,1888
0,1,50,636
0,1,145,1949
0,1,53,698
0,1,11,151
0,1,18,209
0,1,37,457
0,1,10,133
0,1,57,753
0,1,95,1282
0,1,49,625
0,1,130,1825
0,1,134,1862
0,1,134,1865
0,1,79,1002
0,1,112,1529
0,1,129,1818
0,1,58,759
0,1,127,1803
0,1,117,1646
0,1,117,1637
0,1,23,268
0,1,148,1983
0,1,91,1228
0,1,91,1219
0,1,120,1680
0,1,100,1324
0,1,128,1808
0,1,128,1812
0,1,46,580
0,1,63,814
0,1,63,818
0,1,94,1273
0,1,94,1272
0,1,15,197
0,1,64,823
0,1,1,3
0,1,82,1074
0,1,149,1985
0,1,149,1993
0,1,17,204
0,1,8,109
0,1,111,1513
0,1,24,310
15,6,2840,18495
15,6,2838,18487
15,6,2839,18488
15,8,2863,18578
15,8,2863,18583
15,7,2845,18520
15,7,2848,18535
15,7,2843,18505
15,5,2832,18463
15,2,2795,18275
15,3,2812,18354
15,1,2778,18187
15,1,2791,18237
22,11,3785,24138
22,11,3784,24125
22,11,3784,24126
22,12,3791,24168
22,12,3790,24161
22,12,3799,24202
22,12,3797,24192
22,12,3793,24175
22,5,3757,23954
22,5,3756,23925
22,2,3732,23795
22,2,3729,23785
22,8,3771,24063
22,8,3770,24053
22,15,3823,24347
22,15,3825,24352
22,6,3762,24007
22,7,3769,24048
22,1,3705,23595
22,17,3833,24407
22,10,3777,24090
22,10,3777,24093
22,10,3779,24099
22,3,3742,23858
22,13,3809,24244
22,16,3828,24369
22,16,3828,24368
10,19,1708,12509
10,19,1708,12511
10,19,1706,12504
10,19,1706,12501
10,19,1707,12507
10,6,1619,12018
10,6,1623,12033
10,6,1618,12014
10,6,1615,11999
10,10,1642,12135
10,15,1692,12433
10,15,1688,12409
10,11,1657,12228
10,4,1608,11959
10,7,1626,12046
10,7,1625,12041
10,16,1694,12440
10,16,1694,12438
10,21,1721,12586
10,21,1719,12575
10,5,1611,11978
10,5,1611,11975
10,20,1715,12553
10,1,1586,11802
10,1,1584,11792
10,1,1587,11811
10,18,1703,12490
10,18,1700,12480
10,9,1639,12112
10,14,1677,12340
10,13,1671,12303
10,12,1659,12239
10,8,1635,12089
10,8,1636,12096
23,3,3840,24472
23,1,3838,24458
23,2,3839,24470
23,9,3846,24512
3,1,622,5924
3,1,624,5935
3,1,635,6016
3,1,637,6023
3,5,666,6267
3,5,667,6282
3,10,696,6558
3,10,696,6559
3,10,698,6566
3,10,699,6571
3,9,694,6550
3,9,692,6539
3,12,712,6657
3,3,649,6114
3,3,649,6112
3,3,655,6173
3,3,651,6135
3,3,656,6182
3,14,721,6709
3,14,722,6728
3,13,719,6701
3,13,714,6664
3,2,646,6075
3,2,645,6070
3,8,687,6492
3,8,690,6499
3,8,689,6497
3,15,723,6732
3,15,724,6745
3,15,729,6768
3,4,659,6208
3,4,663,6247
3,7,681,6433
3,7,680,6423
3,11,702,6597
3,11,704,6607
3,6,677,6386
3,6,674,6368
7,2,1121,9186
7,2,1120,9182
7,17,1205,9638
7,7,1169,9460
7,7,1169,9459
7,7,1168,9450
7,1,1116,9144
7,1,1103,9049
7,1,1107,9078
7,14,1198,9605
7,18,1214,9677
7,18,1214,9675
7,18,1213,9673
7,16,1204,9633
7,16,1204,9630
7,12,1185,9536
7,12,1188,9552
7,9,1175,9489
7,13,1193,9575
7,13,1192,9573
7,13,1196,9596
7,6,1162,9429
7,6,1158,9396
7,11,1182,9527
7,5,1128,9242
7,4,1126,9228
19,8,3460,22247
19,5,3441,22173
19,9,3468,22282
19,7,3457,22239
19,7,3458,22240
19,10,3479,22325
19,10,3478,22324
19,1,3399,21954
19,1,3396,21934
4,6,777,7035
4,6,779,7039
4,6,776,7027
4,6,778,7036
4,4,765,6985
4,7,791,7102
4,7,789,7088
4,7,790,7098
4,7,781,7059
4,8,797,7135
4,2,751,6886
4,2,752,6894
4,2,753,6895
4,1,748,6869
4,5,769,6995
8,6,1357,10333
8,6,1352,10291
8,6,1355,10302
8,4,1317,10136
8,4,1315,10127
8,4,1316,10129
8,3,1298,10042
8,3,1297,10032
8,3,1293,10018
8,3,1294,10022
8,8,1370,10404
8,8,1371,10405
8,8,1368,10397
8,5,1336,10226
8,5,1338,10234
8,5,1337,10228
8,2,1270,9938
8,2,1287,9998
8,2,1288,9999
8,2,1279,9967
8,7,1364,10381
8,7,1365,10382
8,1,1237,9809
8,1,1236,9799
8,1,1253,9865
8,1,1234,9785
18,4,3372,21774
18,4,3363,21689
18,4,3374,21784
18,1,3307,21295
18,1,3315,21376
18,1,3315,21375
18,1,3316,21381
18,1,3311,21318
18,1,3311,21322
18,1,3318,21386
18,1,3310,21309
18,1,3305,21230
18,1,3304,21221
18,1,3306,21278
18,1,3317,21385
18,5,3380,21818
18,5,3381,21820
18,2,3322,21408
18,2,3331,21452
18,2,3335,21477
18,2,3321,21398
18,2,3326,21425
18,3,3350,21593
18,3,3355,21623
18,3,3345,21560
18,3,3347,21569
18,3,3352,21604
18,3,3354,21614
6,12,1079,8926
6,12,1076,8905
6,8,1045,8721
6,8,1043,8709
6,10,1065,8841
6,10,1065,8847
6,3,1006,8539
6,11,1074,8902
6,11,1074,8901
6,11,1072,8887
6,11,1073,8900
6,11,1070,8873
6,5,1017,8586
6,2,992,8453
6,2,998,8496
6,2,1000,8503
6,2,986,8417
6,4,1016,8580
6,4,1016,8581
6,4,1013,8576
6,9,1060,8820
6,9,1054,8784
6,1,982,8388
6,1,981,8383
6,13,1092,8979
6,14,1095,9001
6,6,1022,8618
9,22,1556,11633
9,22,1557,11637
9,13,1488,11114
9,13,1486,11099
9,13,1494,11128
9,8,1457,10915
9,8,1459,10917
9,3,1429,10776
9,3,1429,10775
9,18,1520,11334
9,18,1520,11333
9,18,1521,11336
9,18,1519,11325
9,18,1519,11324
9,18,1519,11328
9,1,1382,10472
9,16,1504,11217
9,16,1504,11218
9,16,1504,11219
9,16,1505,11222
9,12,1483,11086
9,12,1484,11092
9,20,1528,11399
9,20,1537,11486
9,2,1424,10743
9,2,1420,10722
9,2,1422,10737
9,10,1470,11014
9,10,1470,11011
9,9,1465,10959
9,9,1463,10949
9,9,1462,10942
9,9,1466,10979
9,17,1511,11252
9,17,1514,11285
9,17,1513,11269
9,17,1510,11246
9,11,1477,11048
9,6,1448,10876
9,6,1449,10881
9,14,1496,11157
9,14,1497,11166
9,23,1564,11669
9,23,1567,11696
9,23,1569,11700
9,4,1435,10807
9,4,1436,10815
9,19,1523,11353
9,19,1525,11369
9,19,1524,11359
9,7,1455,10912
9,21,1549,11588
5,10,928,8061
5,10,926,8051
5,10,921,8030
5,10,921,8028
5,10,923,8039
5,14,973,8324
5,14,970,8302
5,14,970,8308
5,14,970,8310
5,14,974,8331
5,7,884,7817
5,7,885,7819
5,13,957,8189
5,13,968,8291
5,13,967,8281
5,6,880,7788
5,6,875,7754
5,9,916,7989
5,9,918,8009
5,9,908,7945
5,2,831,7455
5,2,829,7446
5,12,951,8173
5,12,947,8156
5,12,956,8188
5,12,955,8184
5,1,822,7364
5,1,819,7335
5,4,860,7618
5,11,936,8112
5,5,863,7638
11,5,1754,12856
11,6,1760,12886
